3;{0, 1, 2, 3};{1, 3, 3, 1};{};8;{2, 3}
3;{0, 1, 3, 4};{1, 2, 2, 1};{1, 2};6;{1, 2, 3}
3;{0, 1, 5, 6};{2, 3, 3, 2};{};10;{1, 2}
3;{0, 3, 5, 8};{1, 4, 4, 1};{};10;{}
3;{0, 1, 15, 21};{8, 9, 2, 1};{2};20;{1, 2}
3;{0, 6, 20, 21};{1, 2, 9, 8};{1};20;{1, 2}
4;{0, 1, 2, 3, 4};{1, 4, 6, 4, 1};{};16;{2, 3}
4;{0, 1, 2, 5, 6};{2, 6, 5, 2, 1};{2, 3};16;{2, 3}
4;{0, 1, 4, 5, 6};{1, 2, 5, 6, 2};{1, 2};16;{1, 2, 3}
4;{0, 1, 2, 8, 9};{7, 18, 12, 3, 2};{3};42;{2}
4;{0, 1, 7, 8, 9};{2, 3, 12, 18, 7};{1};42;{1, 2}
4;{0, 1, 4, 9, 10};{3, 5, 3, 3, 2};{2, 3};16;{2, 3}
4;{0, 1, 6, 9, 10};{2, 3, 3, 5, 3};{1, 2};16;{1, 2, 3}
4;{0, 1, 4, 11, 15};{14, 22, 10, 3, 1};{3};50;{2}
4;{0, 4, 11, 14, 15};{1, 3, 10, 22, 14};{1};50;{1, 2}
4;{0, 1, 3, 13, 16};{15, 26, 12, 2, 1};{3};56;{2}
4;{0, 1, 7, 15, 16};{9, 12, 5, 9, 7};{2};42;{2}
4;{0, 1, 9, 15, 16};{7, 9, 5, 12, 9};{2};42;{1, 2}
4;{0, 3, 13, 15, 16};{1, 2, 12, 26, 15};{1};56;{1, 2}
4;{0, 1, 3, 15, 21};{48, 81, 35, 3, 1};{3};168;{2}
4;{0, 6, 18, 20, 21};{1, 3, 35, 81, 48};{1};168;{1, 2}
5;{0, 1, 2, 3, 4, 5};{1, 5, 10, 10, 5, 1};{};32;{2, 3}
5;{0, 1, 2, 3, 5, 6};{2, 9, 15, 10, 3, 1};{4};40;{2}
5;{0, 1, 2, 4, 5, 6};{1, 4, 5, 5, 4, 1};{1, 2, 3, 4};20;{2, 3}
5;{0, 1, 3, 4, 5, 6};{1, 3, 10, 15, 9, 2};{1};40;{1, 2}
5;{0, 1, 2, 5, 6, 7};{2, 7, 7, 7, 7, 2};{2, 3};32;{3}
5;{0, 1, 2, 3, 7, 8};{5, 20, 28, 14, 2, 1};{4};70;{2}
5;{0, 1, 3, 5, 7, 8};{2, 5, 7, 7, 5, 2};{2, 3};28;{2, 3}
5;{0, 1, 5, 6, 7, 8};{1, 2, 14, 28, 20, 5};{1};70;{1, 2}
5;{0, 1, 2, 4, 7, 9};{10, 35, 36, 14, 4, 1};{4};100;{2}
5;{0, 2, 5, 7, 8, 9};{1, 4, 14, 36, 35, 10};{1};100;{1, 2}
5;{0, 1, 2, 3, 8, 10};{21, 80, 105, 48, 3, 1};{4};258;{2}
5;{0, 2, 3, 7, 8, 10};{1, 7, 8, 8, 7, 1};{2, 3};32;{3}
5;{0, 1, 4, 6, 9, 10};{1, 2, 3, 3, 2, 1};{1, 2, 3, 4};12;{1, 2, 3}
5;{0, 2, 7, 8, 9, 10};{1, 3, 48, 105, 80, 21};{1};258;{1, 2}
5;{0, 1, 2, 3, 11, 12};{30, 108, 132, 55, 3, 2};{4};330;{2}
5;{0, 1, 5, 7, 11, 12};{4, 7, 11, 11, 7, 4};{};44;{2}
5;{0, 1, 9, 10, 11, 12};{2, 3, 55, 132, 108, 30};{1};330;{1, 2}
5;{0, 3, 4, 10, 11, 14};{1, 10, 11, 11, 10, 1};{};44;{}
5;{0, 2, 5, 9, 12, 14};{1, 3, 4, 4, 3, 1};{1, 2, 3, 4};16;{1, 2, 3}
5;{0, 2, 3, 4, 13, 15};{11, 90, 143, 65, 2, 1};{4};312;{2}
5;{0, 2, 11, 12, 13, 15};{1, 2, 65, 143, 90, 11};{1};312;{1, 2}
5;{0, 1, 2, 5, 12, 16};{77, 224, 176, 32, 4, 1};{4};514;{2}
5;{0, 1, 2, 3, 15, 16};{91, 312, 360, 140, 4, 3};{4};910;{2}
5;{0, 1, 7, 9, 15, 16};{2, 3, 5, 5, 3, 2};{1, 2, 3, 4};20;{1, 2, 3}
5;{0, 1, 5, 11, 15, 16};{7, 11, 7, 7, 11, 7};{2, 3};50;{2}
5;{0, 1, 3, 13, 15, 16};{7, 13, 7, 7, 13, 7};{2, 3};54;{}
5;{0, 4, 11, 14, 15, 16};{1, 4, 32, 176, 224, 77};{1};514;{1, 2}
5;{0, 1, 13, 14, 15, 16};{3, 4, 140, 360, 312, 91};{1};910;{1, 2}
5;{0, 1, 3, 4, 18, 21};{85, 189, 238, 135, 2, 1};{4};650;{2}
5;{0, 3, 17, 18, 20, 21};{1, 2, 135, 238, 189, 85};{1};650;{1, 2}
5;{0, 4, 7, 15, 18, 22};{1, 5, 6, 6, 5, 1};{2, 3};24;{2, 3}
5;{0, 1, 10, 12, 21, 22};{3, 4, 7, 7, 4, 3};{1, 2, 3, 4};28;{1, 2, 3}
5;{0, 3, 4, 6, 18, 24};{35, 384, 486, 140, 4, 1};{4};1050;{2}
5;{0, 3, 4, 5, 19, 24};{35, 475, 798, 360, 3, 1};{4};1672;{2}
5;{0, 6, 18, 20, 21, 24};{1, 4, 140, 486, 384, 35};{1};1050;{1, 2}
5;{0, 5, 19, 20, 21, 24};{1, 3, 360, 798, 475, 35};{1};1672;{1, 2}
5;{0, 5, 8, 18, 21, 26};{1, 6, 7, 7, 6, 1};{2, 3};28;{3}
5;{0, 2, 11, 15, 24, 26};{3, 5, 8, 8, 5, 3};{2, 3};32;{1, 2, 3}
5;{0, 1, 13, 15, 27, 28};{4, 5, 9, 9, 5, 4};{2, 3};36;{1, 2}
6;{0, 1, 2, 3, 4, 5, 6};{1, 6, 15, 20, 15, 6, 1};{};64;{2, 3}
6;{0, 1, 2, 3, 5, 7, 8};{3, 15, 28, 21, 7, 3, 1};{4, 5};78;{2}
6;{0, 1, 2, 3, 6, 7, 8};{5, 24, 42, 28, 14, 12, 3};{4};128;{}
6;{0, 1, 2, 5, 6, 7, 8};{3, 12, 14, 28, 42, 24, 5};{2};128;{}
6;{0, 1, 3, 5, 6, 7, 8};{1, 3, 7, 21, 28, 15, 3};{1, 2};78;{1, 2}
6;{0, 1, 2, 4, 5, 8, 9};{7, 30, 40, 42, 28, 5, 2};{5};154;{2}
6;{0, 1, 2, 4, 7, 8, 9};{5, 20, 24, 14, 16, 15, 4};{3};98;{}
6;{0, 1, 2, 5, 7, 8, 9};{4, 15, 16, 14, 24, 20, 5};{3};98;{}
6;{0, 1, 4, 5, 7, 8, 9};{2, 5, 28, 42, 40, 30, 7};{1};154;{1, 2}
6;{0, 1, 2, 3, 5, 8, 10};{21, 100, 175, 120, 28, 5, 1};{5};450;{2}
6;{0, 1, 2, 3, 6, 8, 10};{14, 64, 105, 64, 14, 6, 1};{4};268;{2}
6;{0, 1, 2, 3, 7, 8, 10};{9, 40, 63, 36, 12, 9, 1};{4};170;{}
6;{0, 1, 3, 6, 7, 8, 10};{3, 8, 12, 42, 60, 27, 2};{2};154;{2}
